Method,Top_K,RRF_K,Model,Recall,NDCG,MRR,Time_Taken_Sec,Time_Dense,Time_Sparse,Time_RRF,Time_Colbert,Time_CrossEncoder
default,50,100,rrf,0.6507,0.4544,0.3979,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,100,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,100,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,150,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,150,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,150,rrf,0.6507,0.454,0.3975,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,150,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,150,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,300,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,300,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,300,rrf,0.6507,0.4544,0.3981,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,300,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,300,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,10,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,10,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,10,rrf,0.6597,0.4591,0.4015,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,10,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,10,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,20,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,20,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,20,rrf,0.6597,0.4589,0.4015,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,20,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,20,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,60,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,60,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,60,rrf,0.6597,0.4559,0.3983,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,60,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,60,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,80,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,80,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,80,rrf,0.6597,0.455,0.3971,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,80,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
